_id,company,bus_brand,from_city,from_station,to_city,to_station,scheduled_departure,actual_departure,arrival_time,counter,safety,comfort,comment,last_updated
79,"AB Ekspres","Shamisha Holiday Express","Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-05-24 14:30","2012-05-24 16:00","2012-05-24 21:08",49,2,1,"boarded bus at ticket time of 2:30pm, was chased down and switched bus at 2:45pm, finally another bus come 3:55pm, unexpected stop in Ipoh, changed bus again in Butterworth","2013-01-11 21:13"
78,"AB Ekspres","Shamisha Holiday Express","Kuala Lumpur",Puduraya,Penang,Butterworth,"2012-05-24 14:30","2012-05-24 16:00","2012-05-24 20:45",49,2,1,"","2013-01-11 21:13"
77,"GT Express","Alisan Express","Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-05-20 18:30","2012-05-20 19:06","2012-05-20 22:50",42,2,2,"","2013-01-11 21:13"
76,"GT Express","Alisan Express","Kuala Lumpur",Puduraya,Penang,Butterworth,"2012-05-20 18:30","2012-05-20 19:06","2012-05-20 22:34",42,2,2,"","2013-01-11 21:13"
75,"Alisan Express",Seasons,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-05-18 18:30","2012-05-18 18:47","2012-05-18 23:41",19,4,2,"annoying driver played music, sang, and whistled","2013-01-11 21:13"
74,"Alisan Express",Seasons,Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-05-18 18:30","2012-05-18 18:47","2012-05-18 23:27",19,4,2,"annoying driver played music, sang, and whistled","2013-01-11 21:13"
73,"Etika Express",Seasons,"Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-05-13 22:30","2012-05-13 22:36","2012-05-14 03:00",46,3,2,"driver smoked on bus","2013-01-11 21:13"
72,"Etika Express",Seasons,"Kuala Lumpur","Hentian Duta",Penang,Butterworth,"2012-05-13 22:30","2012-05-13 22:36","2012-05-14 02:38",46,3,2,"driver smoked on bus","2013-01-11 21:13"
71,"Etika Express",Seasons,"Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-05-13 22:00","2012-05-13 22:17","2012-05-14 03:00",46,3,2,"driver smoked on bus","2013-01-11 21:13"
70,"Etika Express",Seasons,"Kuala Lumpur",Puduraya,Penang,Butterworth,"2012-05-13 22:00","2012-05-13 22:17","2012-05-14 02:38",46,3,2,"driver smoked on bus","2013-01-11 21:13"
69,"KPB Ekspres","Cepat Sedia",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-05-11 18:30","2012-05-11 19:11","2012-05-12 00:42",1/2,3,2,"bus broke down","2013-01-11 21:13"
68,"KPB Ekspres","Cepat Sedia",Penang,"Sg Nibong","Kuala Lumpur","Jalan Duta","2012-05-11 18:30","2012-05-11 19:11","2012-05-12 00:23",1/2,3,2,"bus broke down","2013-01-11 21:13"
67,"Super Nice","Super Nice","Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-05-07 10:30","2012-05-07 11:05","2012-05-07 16:13",51,3,3,"","2013-01-11 21:13"
66,"Super Nice","Super Nice","Kuala Lumpur","Hentian Duta",Ipoh,"","2012-05-07 10:30","2012-05-07 11:05","2012-05-07 13:48",51,3,3,"","2013-01-11 21:13"
65,"Super Nice","Super Nice","Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-05-07 10:00","2012-05-07 10:19","2012-05-07 16:13",51,3,3,"","2013-01-11 21:13"
64,"Super Nice","Super Nice","Kuala Lumpur",Puduraya,Ipoh,"","2012-05-07 10:00","2012-05-07 10:19","2012-05-07 13:48",51,3,3,"","2013-01-11 21:13"
63,Plusliner,Plusliner,Penang,"Sg Nibong","Kuala Lumpur",KTM,"2012-05-05 13:00","2012-05-05 13:03","2012-05-05 16:48",9,4,5,"","2013-01-11 21:13"
62,Plusliner,Plusliner,"Kuala Lumpur",KTM,Penang,"Sg Nibong","2012-05-01 16:00","2012-05-01 16:05","2012-05-01 20:47","",5,2,"","2013-01-11 21:13"
61,Plusliner,Plusliner,Puchong,"Puchong Tesco",Penang,"Sg Nibong","2012-05-01 15:15","2012-05-01 15:15","2012-05-01 20:47","",5,2,"","2013-01-11 21:13"
60,"KPB Ekspres",Seasons,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-04-27 18:30","2012-04-27 18:54","2012-04-27 23:49",1/2,3,2,"","2013-01-11 21:13"
59,"KPB Ekspres",Seasons,Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-04-27 18:30","2012-04-27 18:54","2012-04-27 23:32",1/2,3,2,"","2013-01-11 21:13"
58,"KPB Ekspres","",Ipoh,"",Penang,"Sg Nibong","2012-04-23 00:00","2012-04-23 00:06","2012-04-23 02:28",10,5,3,"","2013-01-11 21:13"
57,"KPB Ekspres","",Ipoh,"",Taiping,"","2012-04-23 00:00","2012-04-23 00:06","2012-04-23 01:19",10,5,3,"","2013-01-11 21:13"
56,"KPB Ekspres","","Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-04-22 21:30","2012-04-22 21:32","2012-04-23 02:28",10,5,3,"","2013-01-11 21:13"
55,"KPB Ekspres","","Kuala Lumpur","Hentian Duta",Taiping,"","2012-04-22 21:30","2012-04-22 21:32","2012-04-23 01:19",10,5,3,"","2013-01-11 21:13"
54,"KPB Ekspres","","Kuala Lumpur","Hentian Duta",Ipoh,"","2012-04-22 21:30","2012-04-22 21:32","2012-04-22 23:52",10,5,3,"","2013-01-11 21:13"
53,"KPB Ekspres","","Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-04-22 21:00","2012-04-22 21:03","2012-04-23 02:28",10,5,3,"","2013-01-11 21:13"
52,"KPB Ekspres","","Kuala Lumpur",Puduraya,Taiping,"","2012-04-22 21:00","2012-04-22 21:03","2012-04-23 01:19",10,5,3,"","2013-01-11 21:13"
51,"KPB Ekspres","","Kuala Lumpur",Puduraya,Ipoh,"","2012-04-22 21:00","2012-04-22 21:03","2012-04-22 23:52",10,5,3,"","2013-01-11 21:13"
50,Starmart,"707 Super Nice",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-04-20 18:30","2012-04-20 19:15","2012-04-21 00:01",16/17,2,4,"","2013-01-11 21:13"
49,Starmart,"707 Super Nice",Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-04-20 18:30","2012-04-20 19:15","2012-04-20 23:51",16/17,2,4,"","2013-01-11 21:13"
48,Starmart,"707 Super Nice",Penang,"Sg Nibong","Sg Buloh","","2012-04-20 18:30","2012-04-20 19:15","2012-04-20 23:35",16/17,2,4,"","2013-01-11 21:13"
47,"Eagle Ekspres",Seasons,"Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-04-15 21:30","2012-04-15 21:40","2012-04-16 02:07",6,"","","","2013-01-11 21:13"
46,"Eagle Ekspres",Seasons,"Kuala Lumpur","Hentian Duta",Penang,Butterworth,"2012-04-15 21:30","2012-04-15 21:40","2012-04-16 01:45",6,"","","","2013-01-11 21:13"
45,"Eagle Ekspres",Seasons,"Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-04-15 21:00","2012-04-15 21:14","2012-04-16 02:07",6,"","","","2013-01-11 21:13"
44,"Eagle Ekspres",Seasons,"Kuala Lumpur",Puduraya,Penang,Butterworth,"2012-04-15 21:00","2012-04-15 21:14","2012-04-16 01:45",6,"","","","2013-01-11 21:13"
43,"Sykt Pengangkutan Hamid Yacob S/B",Eagle,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-04-13 19:00","2012-04-13 19:40","2012-04-14 00:30",34,"","","","2013-01-11 21:13"
42,"Sykt Pengangkutan Hamid Yacob S/B",Eagle,Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-04-13 19:00","2012-04-13 19:40","2012-04-14 00:16",34,"","","","2013-01-11 21:13"
41,"Sykt Pengangkutan Hamid Yacob S/B",Eagle,Penang,"Sg Nibong","Sg Buloh","","2012-04-13 19:00","2012-04-13 19:40","2012-04-14 00:00",34,"","","","2013-01-11 21:13"
40,"Sykt Pengangkutan Hamid Yacob S/B","Alisan Express",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-04-13 18:30",Cancelled,Cancelled,34,"","","","2013-01-11 21:13"
39,Kesatuan,Seasons,"Kuala Lumpur","Hentian Duta",Penang,"Sg Nibong","2012-03-25 21:30","2012-03-25 21:49","2012-03-26 01:46",29,"","","","2013-01-11 21:13"
38,Kesatuan,Seasons,"Kuala Lumpur","Hentian Duta",Penang,Butterworth,"2012-03-25 21:30","2012-03-25 21:49","2012-03-26 01:29",29,"","","","2013-01-11 21:13"
37,Kesatuan,Seasons,"Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-03-25 21:00","2012-03-25 21:23","2012-03-26 01:46",29,"","","","2013-01-11 21:13"
36,Kesatuan,Seasons,"Kuala Lumpur",Puduraya,Penang,Butterworth,"2012-03-25 21:00","2012-03-25 21:23","2012-03-26 01:29",29,"","","","2013-01-11 21:13"
35,"United Travel",Seasons,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-03-23 18:30","2012-03-23 18:45","2012-03-23 23:43",40,"","","","2013-01-11 21:13"
34,"United Travel",Seasons,Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-03-23 18:30","2012-03-23 18:45","2012-03-23 23:33",40,"","","","2013-01-11 21:13"
33,"Lion Star","Lion Star","Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-03-18 20:30","2012-03-18 20:49","2012-03-19 00:36",45,"","","","2013-01-11 21:13"
32,"Ekspres Senibudaya",Eagle,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-03-16 19:30","2012-03-16 21:40","2012-03-17 01:26",35,"","","","2013-01-11 21:13"
31,Plusliner,Plusliner,"Kuala Lumpur",KTM,Penang,"Sg Nibong","2012-01-19 13:00","2012-01-19 13:13","2012-01-19 17:58","","","","","2013-01-11 21:13"
30,Plusliner,Plusliner,Puchong,"Puchong Tesco",Penang,"Sg Nibong","2012-01-19 12:15","2012-01-19 12:18","2012-01-19 17:58","","","","","2013-01-11 21:13"
29,Plusliner,Plusliner,"Kuala Lumpur",KTM,Penang,"Sg Nibong","2012-01-16 00:00","2012-01-16 00:00","2012-01-16 04:01","","","","","2013-01-11 21:13"
28,Plusliner,Plusliner,Puchong,"Puchong Tesco",Penang,"Sg Nibong","2012-01-15 23:15","2012-01-15 23:09","2012-01-16 04:01","","","","","2013-01-11 21:13"
27,"Alisan Express",Seasons,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-01-13 18:30","2012-01-13 18:42","2012-01-13 23:27","","","","","2013-01-11 21:13"
26,"Alisan Express","Lion Star","Kuala Lumpur",Komtar,Penang,"Sg Nibong","2012-01-08 23:59","2012-01-09 00:27",Cancelled,"","","","lied, said bus stopped at Komtar but it stopped at Sg Nibong instead","2013-01-11 21:13"
25,"Alisan Express","Lion Star","Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2012-01-08 23:59","2012-01-09 00:27","2012-01-09 04:37","","","","lied, said bus stopped at Komtar but it stopped at Sg Nibong instead","2013-01-11 21:13"
24,KKKL,Eagle,Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2012-01-06 20:30","2012-01-06 20:42","2012-01-07 01:01","","","","lied, it was easy to find bus from Puduraya to Komtar","2013-01-11 21:13"
23,KKKL,Eagle,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2012-01-06 20:30","2012-01-06 20:42","2012-01-07 01:12","","","","lied, it was easy to find bus from Puduraya to Komtar","2013-01-11 21:13"
22,KKKL,Eagle,Penang,Komtar,"Kuala Lumpur","Hentian Duta","2012-01-06 19:45","2012-01-06 19:47","2012-01-07 01:01","","","","lied, it was easy to find bus from Puduraya to Komtar","2013-01-11 21:13"
21,KKKL,Eagle,Penang,Komtar,"Kuala Lumpur",Puduraya,"2012-01-06 19:45","2012-01-06 19:47","2012-01-07 01:12","","","","lied, said it was easy to find bus from Puduraya to Komtar","2013-01-11 21:13"
20,"Konsortium Bas Ekspres","","Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2011-12-31 15:45","2011-12-31 17:10","2011-12-31 22:40","","","","","2013-01-11 21:13"
19,"",Seasons,"Kuala Lumpur",Puduraya,Penang,"Sg Nibong","2011-12-26 18:30","2011-12-26 18:44","2011-12-27 00:07","","","","","2013-01-11 21:13"
18,Plusliner,Plusliner,Penang,"Sg Nibong","Kuala Lumpur",KTM,"2011-12-09 23:59","2011-12-10 00:10","2011-12-10 05:00",9,"","","","2013-01-11 21:13"
17,Plusliner,Plusliner,Penang,"Sg Nibong",Puchong,"Puchong Tesco","2011-12-09 23:59","2011-12-10 00:10","2011-12-10 05:30",9,"","","","2013-01-11 21:13"
16,Plusliner,Plusliner,Puchong,"Puchong Tesco",Penang,"Sg Nibong","2011-12-08 23:15","2011-12-08 23:15","2011-12-09 04:15","","","","","2013-01-11 21:13"
15,Plusliner,Plusliner,Penang,"Sg Nibong","Kuala Lumpur",KTM,"2011-12-04 23:59","2011-12-05 00:04","2011-12-05 04:20",9,"","","","2013-01-11 21:13"
14,Plusliner,Plusliner,Penang,"Sg Nibong",Puchong,"Puchong Tesco","2011-12-04 23:59","2011-12-05 00:04","2011-12-05 04:30",9,"","","","2013-01-11 21:13"
13,"",Seasons,Penang,"Sg Nibong","Kuala Lumpur","Hentian Duta","2011-12-02 17:30","2011-12-02 17:36","2011-12-02 22:27","","","","","2013-01-11 21:13"
12,"",Seasons,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2011-12-02 17:30","2011-12-02 17:36","2011-12-02 22:40","","","","","2013-01-11 21:13"
11,Plusliner,Plusliner,"Kuala Lumpur",KTM,Penang,"Sg Nibong","2011-11-28 00:00","2011-11-27 23:58","2011-11-28 04:00","","","","","2013-01-11 21:13"
10,Plusliner,Plusliner,Puchong,"Puchong Tesco",Penang,"Sg Nibong","2011-11-27 23:15","2011-11-27 23:20","2011-11-28 04:00","","","","","2013-01-11 21:13"
9,"Sykt Pengangkutan Hamid Yacob S/B","Five Stars",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2011-11-25 17:00","2011-11-25 17:00","2011-11-25 22:10",34,"","","counter said bus stopped at Puduraya but stopped at Damansara instead, had to argue with driver","2013-01-11 21:13"
8,"Sykt Pengangkutan Hamid Yacob S/B","Five Stars",Penang,"Sg Nibong","Kuala Lumpur",Damansara,"2011-11-25 17:00","2011-11-25 17:00","2011-11-25 21:45",34,"","","counter said bus stopped at Puduraya but stopped at Damansara instead, had to argue with driver","2013-01-11 21:13"
7,"KPB Ekspres","",Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2011-11-20 22:30","2011-11-20 22:41","2011-11-21 03:40",1/2,"","","","2013-01-11 21:13"
6,Aeroline,Aeroline,"Kuala Lumpur","Corus Hotel",Penang,"Sg Nibong","2011-11-19 15:00","2011-11-19 15:00","2011-11-19 19:40","","","","","2013-01-11 21:13"
5,Plusliner,Nice,"Kuala Lumpur",KTM,Penang,"Vistana Hotel","2011-11-04 18:00","2011-11-04 18:12","2011-11-04 23:56","","","","","2013-01-11 21:13"
4,Plusliner,Plusliner,"Kuala Lumpur",KTM,Penang,"Sg Nibong","2011-10-31 00:00","2011-10-31 00:02","2011-10-31 03:35","","","","","2013-01-11 21:13"
3,"KPB Ekspres",Seasons,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2011-10-28 18:30","2011-10-28 18:45","2011-10-29 00:20",1/2,"","","","2013-01-11 21:13"
2,Plusliner,Plusliner,Penang,"Sg Nibong","Kuala Lumpur",KTM,"2011-10-23 18:30","2011-10-23 18:45","2011-10-24 00:20",9,"","","","2013-01-11 21:13"
1,Transnasional,Transnasional,Penang,"Sg Nibong","Kuala Lumpur",Puduraya,"2011-10-21 17:30","2011-10-21 17:30","2011-10-21 23:44",9,"","","","2013-01-11 21:13"
